Reference, Quantity, Value, Footprint, Datasheet
C1 ,1,"150pF","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/w%C3%BCrth-elektronik/885012207111/9346002"
C2 C5 C10 ,3,"1uF","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B105KOFNNNG/3894469"
C22 ,1,"360pF","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/kemet/C0805C361J1GAC7800/2212653"
C3 C15 ,2,"1nF","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C1005X7R1H102K050BA/513719"
C4 ,1,"10uF","Capacitor_SMD:C_1210_3225Metric","https://www.digikey.com/en/products/detail/taiyo-yuden/EMK325BJ106KN-T/930729"
C6 C7 C8 C9 C11 C12 C13 C14 C16 C17 C18 C19 C20 C21 ,14,"0.1uF","Capacitor_SMD:C_0805_2012Metric","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
D1 D2 ,2,"BAS16J","Diode_SMD:D_SOD-323","https://www.digikey.com/en/products/detail/nexperia-usa-inc/BAS16J135/2405996"
D3 D4 D5 D6 D7 D8 D9 ,7,"BAV23","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/tdk-corporation/C2012X7T2E104K125AA/2733184"
F1 ,1,"Polyfuse","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/murata-electronics/PRG21BC0R2MM1RA/966726"
FB1 FB2 ,2,"BKP2125HS221-T","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/taiyo-yuden/BKP2125HS221-T/957823"
H1 ,1,"Cathode","TestPoint:TestPoint_Loop_D3.80mm_Drill2.0mm","~"
H2 ,1,"Anode","TestPoint:TestPoint_Loop_D3.80mm_Drill2.0mm","~"
J1 ,1,"Conn_01x03_Male","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical","~"
L1 ,1,"NRS6020T2R2NMGJ","Inductor_SMD:L_Taiyo-Yuden_MD-4040","https://www.digikey.com/en/products/detail/taiyo-yuden/NRS6020T2R2NMGJ/2665967"
Q1 ,1,"FQT7N10","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.digikey.com/en/products/detail/on-semiconductor/FQT7N10LTF/965354"
Q2 ,1,"BC846A","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/diodes-incorporated/BC846A-7-F/1934446"
Q3 ,1,"MMDT3906","Package_TO_SOT_SMD:SOT-363_SC-70-6","https://www.digikey.com/en/products/detail/diodes-incorporated/MMDT3906-7-F/814540"
R1 ,1,"10M","Resistor_SMD:R_1206_3216Metric","https://www.digikey.com/en/products/detail/yageo/RC1206FR-0710ML/728484"
R11 ,1,"33k","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRGCQ0805F33K/8576369"
R13 R19 ,2,"100k","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT100K/1760712"
R14 ,1,"1M5","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/vishay-dale/CRCW08051M50FKEA/1176034"
R15 ,1,"392k","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-07392KL/727905"
R16 ,1,"1M","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE071ML/1079056"
R17 ,1,"499k","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT499K/1760301"
R18 ,1,"1k","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE071KL/1079055"
R20 ,1,"560K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RT0805FRE07560KL/1079317"
R21 ,1,"47k","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-0747KL/727973"
R22 ,1,"20k","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/panasonic-electronic-components/ERJ-6ENF2002V/111532"
R23 ,1,"3.16M","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/yageo/RC0805FR-073M16L/727809"
R3 R4 ,2,"100K","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT100K/1760712"
R5 R12 ,2,"100","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/te-connectivity-passive-product/CRG0805F100R/2380830"
R6 ,1,"121k","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/koa-speer-electronics-inc/RK73H2ATTD1213F/10235721"
R7 R8 R9 R10 ,4,"22M","Resistor_SMD:R_0805_2012Metric","https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0805FT22M0/6053747"
U1 ,1,"MAX6008AEUR+T","Package_TO_SOT_SMD:SOT-23","https://www.digikey.com/en/products/detail/maxim-integrated/MAX6008AEUR-T/1519060"
U2 ,1,"74HC14","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD74HC14M96/390309"
U3 ,1,"MAX4162","Package_TO_SOT_SMD:SOT-23-5","https://www.digikey.com/en/products/detail/maxim-integrated/MAX4162EUK-T/470825"
U4 ,1,"CD14538BM","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm","https://www.digikey.com/en/products/detail/texas-instruments/CD14538BM/1690553"