Comment,Designator,Footprint,LCSC
"150pF","C1","Capacitor_SMD:C_0805_2012Metric",""
"1uF","C2,C5,C10","Capacitor_SMD:C_0805_2012Metric",""
"360pF","C22","Capacitor_SMD:C_0805_2012Metric",""
"1nF","C3,C15","Capacitor_SMD:C_0805_2012Metric",""
"10uF","C4","Capacitor_SMD:C_1210_3225Metric",""
"0.1uF","C6,C7,C8,C9,C11,C12,C13,C14,C16,C17,C18,C19,C20,C21","Capacitor_SMD:C_0805_2012Metric",""
"BAS16J","D1,D2","Diode_SMD:D_SOD-323",""
"BAV23","D3,D4,D5,D6,D7,D8,D9","Package_TO_SOT_SMD:SOT-23",""
"Polyfuse","F1","Resistor_SMD:R_0805_2012Metric",""
"BKP2125HS221-T","FB1,FB2","Resistor_SMD:R_0805_2012Metric",""
"Cathode","H1","TestPoint:TestPoint_Loop_D3.80mm_Drill2.0mm",""
"Anode","H2","TestPoint:TestPoint_Loop_D3.80mm_Drill2.0mm",""
"Conn_01x03_Male","J1","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"NRS6020T2R2NMGJ","L1","Inductor_SMD:L_Taiyo-Yuden_MD-4040",""
"FQT7N10","Q1","Package_TO_SOT_SMD:SOT-223-3_TabPin2",""
"BC846A","Q2","Package_TO_SOT_SMD:SOT-23",""
"MMDT3906","Q3","Package_TO_SOT_SMD:SOT-363_SC-70-6",""
"10M","R1","Resistor_SMD:R_1206_3216Metric",""
"33k","R11","Resistor_SMD:R_0805_2012Metric",""
"100k","R13,R19","Resistor_SMD:R_0805_2012Metric",""
"1M5","R14","Resistor_SMD:R_0805_2012Metric",""
"392k","R15","Resistor_SMD:R_0805_2012Metric",""
"1M","R16","Resistor_SMD:R_0805_2012Metric",""
"499k","R17","Resistor_SMD:R_0805_2012Metric",""
"1k","R18","Resistor_SMD:R_0805_2012Metric",""
"560K","R20","Resistor_SMD:R_0805_2012Metric",""
"47k","R21","Resistor_SMD:R_0805_2012Metric",""
"20k","R22","Resistor_SMD:R_0805_2012Metric",""
"3.16M","R23","Resistor_SMD:R_0805_2012Metric",""
"100K","R3,R4","Resistor_SMD:R_0805_2012Metric",""
"100","R5,R12","Resistor_SMD:R_0805_2012Metric",""
"121k","R6","Resistor_SMD:R_0805_2012Metric",""
"22M","R7,R8,R9,R10","Resistor_SMD:R_0805_2012Metric",""
"MAX6008AEUR+T","U1","Package_TO_SOT_SMD:SOT-23",""
"74HC14","U2","Package_SO:SOIC-14_3.9x8.7mm_P1.27mm",""
"MAX4162","U3","Package_TO_SOT_SMD:SOT-23-5",""
"CD14538BM","U4","Package_SO:SOIC-16_3.9x9.9mm_P1.27mm",""